dc_id,sku_id,mean_sale
DC005,SKU054,61.0
DC005,SKU055,0.0
DC005,SKU056,0.0
DC005,SKU057,0.0
DC005,SKU058,31.25
DC005,SKU059,0.0
DC005,SKU060,8.0
DC005,SKU061,0.0
DC005,SKU062,457.5
DC005,SKU063,3541.75
DC005,SKU064,2737.75
DC005,SKU065,238.0
DC005,SKU066,10.75
DC005,SKU067,0.0
DC005,SKU068,1.25
DC005,SKU069,0.0
DC005,SKU070,6.5
DC005,SKU071,0.0
DC005,SKU072,149.0
DC005,SKU073,0.0
DC005,SKU074,103.0
DC005,SKU075,0.0
DC005,SKU076,40.25
DC005,SKU077,0.0
DC005,SKU078,0.5
DC005,SKU079,411.0
DC005,SKU080,0.0
DC005,SKU081,0.0
DC005,SKU082,0.0
DC005,SKU083,732.5
DC005,SKU084,64.5
DC005,SKU085,11.25
DC005,SKU086,0.0
DC005,SKU087,0.0
DC005,SKU088,0.0
DC005,SKU089,0.0
DC005,SKU090,0.0
DC005,SKU091,11.0
DC005,SKU092,68.0
DC005,SKU093,0.0
DC005,SKU094,0.0
DC005,SKU095,0.0
DC005,SKU096,0.0
DC005,SKU097,43.75
DC005,SKU098,14.25
DC005,SKU099,188.0
DC005,SKU100,264.5
DC005,SKU101,3.5
DC005,SKU102,10.0
DC005,SKU103,0.0
DC005,SKU104,0.0
DC006,SKU001,0.0
DC006,SKU002,0.0
DC006,SKU003,0.0
DC006,SKU004,0.0
DC006,SKU005,0.0
DC006,SKU006,0.0
DC006,SKU007,41.5
DC006,SKU008,828.75
DC006,SKU009,0.0
DC006,SKU010,216.75
DC006,SKU011,0.0
DC006,SKU012,31.5
DC006,SKU013,28.25
DC006,SKU014,0.0
DC006,SKU015,0.0
DC006,SKU016,0.0
DC006,SKU017,0.0
DC006,SKU018,0.0
DC006,SKU019,109.25
DC006,SKU020,23.0
DC006,SKU021,259.75
DC006,SKU022,0.0
DC006,SKU023,0.0
DC006,SKU024,0.0
DC006,SKU025,0.0
DC006,SKU026,0.0
DC006,SKU027,367.75
DC006,SKU028,0.0
DC006,SKU029,24.25
DC006,SKU030,235.0
DC006,SKU031,20.0
DC006,SKU032,0.0
DC006,SKU033,168.0
DC006,SKU034,0.0
DC006,SKU035,142.5
DC006,SKU036,649.0
DC006,SKU037,1423.75
DC006,SKU038,4601.5
DC006,SKU039,31.75
DC006,SKU040,1952.0
DC006,SKU041,69.0
DC006,SKU042,0.0
DC006,SKU043,0.0
DC006,SKU044,2061.25
DC006,SKU045,21.0
DC006,SKU046,358.75
DC006,SKU047,188.0
DC006,SKU048,0.0
DC006,SKU049,136.0
DC006,SKU050,0.0
DC006,SKU051,218.75
DC006,SKU052,0.0
DC006,SKU053,117.5
DC006,SKU054,54.25
DC006,SKU055,0.0
DC006,SKU056,0.0
DC006,SKU057,0.0
DC006,SKU058,55.0
DC006,SKU059,0.0
DC006,SKU060,0.0
DC006,SKU061,0.0
DC006,SKU062,778.5
DC006,SKU063,5789.25
DC006,SKU064,3327.5
DC006,SKU065,526.25
DC006,SKU066,9.25
DC006,SKU067,18.0
DC006,SKU068,40.0
DC006,SKU069,0.0
DC006,SKU070,2.25
DC006,SKU071,0.0
DC006,SKU072,138.25
DC006,SKU073,17.25
DC006,SKU074,172.5
DC006,SKU075,2.5
DC006,SKU076,11.75
DC006,SKU077,0.0
DC006,SKU078,16.0
DC006,SKU079,191.25
DC006,SKU080,0.0
DC006,SKU081,0.0
DC006,SKU082,0.0
DC006,SKU083,1013.75
DC006,SKU084,204.5
DC006,SKU085,5.75
DC006,SKU086,0.0
DC006,SKU087,0.0
DC006,SKU088,0.0
DC006,SKU089,0.0
DC006,SKU090,0.0
DC006,SKU091,65.75
DC006,SKU092,73.5
DC006,SKU093,0.0
DC006,SKU094,0.0
DC006,SKU095,0.0
DC006,SKU096,0.0
DC006,SKU097,22.0
DC006,SKU098,69.0
DC006,SKU099,376.0
DC006,SKU100,401.75
DC006,SKU101,95.25
DC006,SKU102,0.0
DC006,SKU103,0.0
DC006,SKU104,0.0
DC007,SKU001,0.0
DC007,SKU002,0.0
DC007,SKU003,0.0
DC007,SKU004,0.0
DC007,SKU005,0.0
DC007,SKU006,0.0
DC007,SKU007,1.5
DC007,SKU008,204.0
DC007,SKU009,0.0
DC007,SKU010,244.0
DC007,SKU011,0.0
DC007,SKU012,13.0
DC007,SKU013,4.75
DC007,SKU014,0.0
DC007,SKU015,0.0
DC007,SKU016,0.0
DC007,SKU017,0.0
DC007,SKU018,0.0
DC007,SKU019,8.0
DC007,SKU020,4.0
DC007,SKU021,34.0
DC007,SKU022,0.0
DC007,SKU023,0.0
DC007,SKU024,0.0
DC007,SKU025,0.0
DC007,SKU026,0.0
DC007,SKU027,0.0
DC007,SKU028,0.0
DC007,SKU029,3.25
DC007,SKU030,51.75
DC007,SKU031,2.0
DC007,SKU032,0.0
DC007,SKU033,298.25
DC007,SKU034,0.0
DC007,SKU035,36.0
DC007,SKU036,145.0
DC007,SKU037,219.0
DC007,SKU038,1247.0
DC007,SKU039,0.0
DC007,SKU040,159.5
DC007,SKU041,1.0
DC007,SKU042,0.0
DC007,SKU043,0.0
DC007,SKU044,638.25
DC007,SKU045,16.0
DC007,SKU046,0.0
DC007,SKU047,43.5
DC007,SKU048,0.0
DC007,SKU049,43.25
DC007,SKU050,0.0
DC007,SKU051,0.0
DC007,SKU052,0.0
