dc_id,sku_id,target_doi
DC003,SKU069,3.0
DC003,SKU070,3.0
DC003,SKU071,3.0
DC003,SKU072,4.674013761104513
DC003,SKU073,3.0
DC003,SKU074,5.343416125174333
DC003,SKU075,5.603975633125851
DC003,SKU076,13.186599039025545
DC003,SKU077,3.0
DC003,SKU078,3.0
DC003,SKU079,4.308065881467307
DC003,SKU080,3.0
DC003,SKU081,3.0
DC003,SKU082,3.0
DC003,SKU083,3.547456758485627
DC003,SKU084,4.746087808751525
DC003,SKU085,5.478519058419887
DC003,SKU086,3.0
DC003,SKU087,3.685523871291475
DC003,SKU088,3.0
DC003,SKU089,3.0
DC003,SKU090,3.0
DC003,SKU091,3.0
DC003,SKU092,3.0
DC003,SKU093,3.0
DC003,SKU094,3.0
DC003,SKU095,3.0
DC003,SKU096,3.0
DC003,SKU097,17.445661415051998
DC003,SKU098,2.597570507812183
DC003,SKU099,5.834184378571889
DC003,SKU100,4.340338378787145
DC003,SKU101,6.522606198126303
DC003,SKU102,2.6595695969810773
DC003,SKU103,3.0
DC003,SKU104,3.0
DC004,SKU001,3.0
DC004,SKU002,3.0
DC004,SKU003,3.0
DC004,SKU004,3.0
DC004,SKU005,3.0
DC004,SKU006,3.0
DC004,SKU007,8.49796484062914
DC004,SKU008,6.680618629584544
DC004,SKU009,3.0
DC004,SKU010,3.0
DC004,SKU011,3.0
DC004,SKU012,3.0
DC004,SKU013,4.363657399834292
DC004,SKU014,3.0
DC004,SKU015,3.0
DC004,SKU016,3.0
DC004,SKU017,3.0
DC004,SKU018,3.0
DC004,SKU019,4.4269533568318025
DC004,SKU020,3.0
DC004,SKU021,3.878557793034264
DC004,SKU022,3.0
DC004,SKU023,3.0
DC004,SKU024,3.0
DC004,SKU025,3.0
DC004,SKU026,3.0
DC004,SKU027,3.0
DC004,SKU028,3.0
DC004,SKU029,4.375146640105111
DC004,SKU030,3.68043514845354
DC004,SKU031,3.0961790293979017
DC004,SKU032,3.0
DC004,SKU033,13.100161377367034
DC004,SKU034,3.0
DC004,SKU035,6.781927271775647
DC004,SKU036,5.78593904750589
DC004,SKU037,3.3138193669382594
DC004,SKU038,3.0486857537279417
DC004,SKU039,19.51616664739253
DC004,SKU040,3.9816459981117234
DC004,SKU041,5.138987286360366
DC004,SKU042,2.8722008676585555
DC004,SKU043,3.0
DC004,SKU044,4.222126932709975
DC004,SKU045,3.0
DC004,SKU046,3.0
DC004,SKU047,3.7873046514586384
DC004,SKU048,2.176714352188283
DC004,SKU049,4.235336894886849
DC004,SKU050,3.0
DC004,SKU051,8.710632679615193
DC004,SKU052,3.0
DC004,SKU053,2.27642853923956
DC004,SKU054,4.030090005504086
DC004,SKU055,3.0
DC004,SKU056,3.0
DC004,SKU057,3.0
DC004,SKU058,9.82830627834208
DC004,SKU059,3.0
DC004,SKU060,3.0
DC004,SKU061,3.0
DC004,SKU062,5.889898338052846
DC004,SKU063,3.412043712417224
DC004,SKU064,3.501820406018904
DC004,SKU065,4.430475344588129
DC004,SKU066,6.059207782527825
DC004,SKU067,3.0
DC004,SKU068,3.236738714104314
DC004,SKU069,3.0
DC004,SKU070,5.621507705960499
DC004,SKU071,14.310628632193616
DC004,SKU072,6.95880058009663
DC004,SKU073,3.6822888089270633
DC004,SKU074,2.7347397492351435
DC004,SKU075,3.0
DC004,SKU076,4.645094395215778
DC004,SKU077,3.0
DC004,SKU078,3.0
DC004,SKU079,4.296027227141122
DC004,SKU080,3.0
DC004,SKU081,3.0
DC004,SKU082,3.0
DC004,SKU083,3.821296294794117
DC004,SKU084,3.0
DC004,SKU085,3.7860629031779474
DC004,SKU086,3.0
DC004,SKU087,3.0
DC004,SKU088,3.0
DC004,SKU089,3.0
DC004,SKU090,3.0
DC004,SKU091,3.0
DC004,SKU092,3.0
DC004,SKU093,3.0
DC004,SKU094,3.0
DC004,SKU095,3.0
DC004,SKU096,3.0
DC004,SKU097,6.203051675642068
DC004,SKU098,7.027738726813053
DC004,SKU099,4.762004406639878
DC004,SKU100,5.667133005265725
DC004,SKU101,3.0
DC004,SKU102,3.0
DC004,SKU103,3.0
DC004,SKU104,3.0
DC005,SKU001,3.0
DC005,SKU002,3.0
DC005,SKU003,3.0
DC005,SKU004,3.0
DC005,SKU005,3.0
DC005,SKU006,3.0
DC005,SKU007,21.487924406570983
DC005,SKU008,6.151311859776074
DC005,SKU009,3.0
DC005,SKU010,3.779064341918797
DC005,SKU011,3.0
DC005,SKU012,6.727977456626492
DC005,SKU013,4.778093924197713
DC005,SKU014,3.0
DC005,SKU015,3.0
DC005,SKU016,3.0
DC005,SKU017,3.0
DC005,SKU018,3.0
DC005,SKU019,6.07636015352127
DC005,SKU020,3.0
DC005,SKU021,9.390418150415448
DC005,SKU022,3.0
DC005,SKU023,3.0
DC005,SKU024,3.0
DC005,SKU025,3.0
DC005,SKU026,3.0
DC005,SKU027,36.66381587419271
DC005,SKU028,3.0
DC005,SKU029,6.790199912662464
DC005,SKU030,5.363509757620492
DC005,SKU031,3.0
DC005,SKU032,3.0
DC005,SKU033,19.64564115311424
DC005,SKU034,3.0
DC005,SKU035,6.148756595564017
DC005,SKU036,3.241108430738345
DC005,SKU037,3.4745292031355577
DC005,SKU038,2.952937281678892
DC005,SKU039,10.133034367761956
DC005,SKU040,3.863829766148019
DC005,SKU041,4.735293472354635
DC005,SKU042,3.0
DC005,SKU043,3.0
DC005,SKU044,3.611407827869762
DC005,SKU045,3.0
DC005,SKU046,16.382287621114504
DC005,SKU047,4.371331957247899
